build_bytes,  build_time_ms, checked_result, gpu_resident_bytes, i_build_key_uniformity, i_configuration,   i_hit_rate, i_key_size, i_log_build_size, i_log_key_multiplicity, i_log_num_batches, i_log_probe_size, i_misses_are_outliers, i_probe_zipf_coefficient, i_runs, i_sort_insert, i_sort_probe,       i_type, i_value_size,  probe_time_ms,  sort_time_ms
   56766000,   1.8072255984,              1,           22619568,           1.0000000000,      build_size, 1.0000000000,         64,               19,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            1,    rtx_index,           32,  15.8349697113, 24.4809215546
   56723376,   1.7328768328,              1,           22576944,           1.0000000000,      build_size, 1.0000000000,         64,               19,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            0,    rtx_index,           32,  37.5701507568,  0.0000000000
   56723376,   1.8043776020,              1,           22576944,           1.0000000000,      build_size, 1.0000000000,         64,               19,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            1,    rtx_index,           32,  15.8552064896, 24.4555580139
  112326448,   3.3419520080,              1,           44037552,           1.0000000000,      build_size, 1.0000000000,         64,               20,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            0,    rtx_index,           32,  49.0948226929,  0.0000000000
  112326448,   3.4880320489,              1,           44037552,           1.0000000000,      build_size, 1.0000000000,         64,               20,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            1,    rtx_index,           32,  16.4632579803, 24.5922050476
  112083248,   3.2957759708,              1,           43794352,           1.0000000000,      build_size, 1.0000000000,         64,               20,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            0,    rtx_index,           32,  49.1179840088,  0.0000000000
  112083248,   3.4251199991,              1,           43794352,           1.0000000000,      build_size, 1.0000000000,         64,               20,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            1,    rtx_index,           32,  16.3266563416, 24.5075836182
  225282224,   6.4242176056,              1,           88708528,           1.0000000000,      build_size, 1.0000000000,         64,               21,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            0,    rtx_index,           32,  60.9388542175,  0.0000000000
  225282224,   6.6795135856,              1,           88708528,           1.0000000000,      build_size, 1.0000000000,         64,               21,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            1,    rtx_index,           32,  17.1745281219, 24.5235771179
  224406448,   6.4178560913,              1,           87832752,           1.0000000000,      build_size, 1.0000000000,         64,               21,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            0,    rtx_index,           32,  60.6604537964,  0.0000000000
  224406448,   6.6337151468,              1,           87832752,           1.0000000000,      build_size, 1.0000000000,         64,               21,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            1,    rtx_index,           32,  17.4374656677, 24.5085628510
  451833008,  12.4656447887,              1,          178689712,           1.0000000000,      build_size, 1.0000000000,         64,               22,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            0,    rtx_index,           32,  70.7366836548,  0.0000000000
  451833008,  13.1031169295,              1,          178689712,           1.0000000000,      build_size, 1.0000000000,         64,               22,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            1,    rtx_index,           32,  17.8182338715, 24.5714946747
  449648816,  12.4163007975,              1,          176505520,           1.0000000000,      build_size, 1.0000000000,         64,               22,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            0,    rtx_index,           32,  70.9314559937,  0.0000000000
  449648816,  12.7849599719,              1,          176505520,           1.0000000000,      build_size, 1.0000000000,         64,               22,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            1,    rtx_index,           32,  17.6310016632, 24.6122497559
  887317680,  23.6459900856,              1,          341034928,           1.0000000000,      build_size, 1.0000000000,         64,               23,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            0,    rtx_index,           32,  78.6448211670,  0.0000000000
  887317680,  24.3968769073,              1,          341034928,           1.0000000000,      build_size, 1.0000000000,         64,               23,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            1,    rtx_index,           32,  19.1043582916, 24.9614074707
  884583728,  23.5112066031,              1,          338300976,           1.0000000000,      build_size, 1.0000000000,         64,               23,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            0,    rtx_index,           32,  78.9510147095,  0.0000000000
  884583728,  24.1916415453,              1,          338300976,           1.0000000000,      build_size, 1.0000000000,         64,               23,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            1,    rtx_index,           32,  18.7107269287, 24.5433410645
 1779083440,  47.8980090141,              1,          686521648,           1.0000000000,      build_size, 1.0000000000,         64,               24,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            0,    rtx_index,           32,  87.3246917725,  0.0000000000
 1779083440,  48.7362948418,              1,          686521648,           1.0000000000,      build_size, 1.0000000000,         64,               24,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            1,    rtx_index,           32,  21.6666114807, 24.6085502625
