build_bytes,  build_time_ms, checked_result, gpu_resident_bytes, i_build_key_uniformity,  i_configuration,   i_hit_rate, i_key_size, i_log_build_size, i_log_key_multiplicity, i_log_num_batches, i_log_probe_size, i_misses_are_outliers, i_probe_zipf_coefficient, i_runs, i_sort_insert, i_sort_probe,       i_type, i_value_size,    probe_time_ms,     sort_time_ms
   10577407,   0.1080512028,              1,            4194304,           1.0000000000,       build_size, 1.0000000000,         32,               19,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            0, sorted_array,           32,    26.1269504547,     0.0000000000
   10577407,   0.1085504023,              1,            4194304,           1.0000000000,       build_size, 1.0000000000,         32,               19,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            1, sorted_array,           32,     6.3691072464,     8.0051198006
   10577407,   0.1055040011,              1,            4194304,           1.0000000000,       build_size, 1.0000000000,         32,               19,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            0, sorted_array,           32,    25.4623806000,     0.0000000000
   10577407,   0.1067392018,              1,            4194304,           1.0000000000,       build_size, 1.0000000000,         32,               19,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            1, sorted_array,           32,     6.2977600098,     8.0180801392
   21145087,   0.1734016007,              1,            8388608,           1.0000000000,       build_size, 1.0000000000,         32,               20,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            0, sorted_array,           32,    34.9507522583,     0.0000000000
   21145087,   0.1814271994,              1,            8388608,           1.0000000000,       build_size, 1.0000000000,         32,               20,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            1, sorted_array,           32,     6.8882944107,     7.9959360123
   21145087,   0.1702527989,              1,            8388608,           1.0000000000,       build_size, 1.0000000000,         32,               20,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            0, sorted_array,           32,    34.3901123047,     0.0000000000
   21145087,   0.1813696031,              1,            8388608,           1.0000000000,       build_size, 1.0000000000,         32,               20,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            1, sorted_array,           32,     6.8842689514,     8.0088641167
   42281471,   0.2923199993,              1,           16777216,           1.0000000000,       build_size, 1.0000000000,         32,               21,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            0, sorted_array,           32,    58.5736190796,     0.0000000000
   42281471,   0.3074687995,              1,           16777216,           1.0000000000,       build_size, 1.0000000000,         32,               21,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            1, sorted_array,           32,     7.3981376648,     8.0129600525
   42281471,   0.2911680054,              1,           16777216,           1.0000000000,       build_size, 1.0000000000,         32,               21,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            0, sorted_array,           32,    57.7443260193,     0.0000000000
   42281471,   0.3080255996,              1,           16777216,           1.0000000000,       build_size, 1.0000000000,         32,               21,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            1, sorted_array,           32,     7.3928062439,     7.9994302750
   84553215,   0.5166911967,              1,           33554432,           1.0000000000,       build_size, 1.0000000000,         32,               22,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            0, sorted_array,           32,   123.1588241577,     0.0000000000
   84553215,   0.5509375975,              1,           33554432,           1.0000000000,       build_size, 1.0000000000,         32,               22,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            1, sorted_array,           32,     8.0525119781,     7.9963904381
   84553215,   0.5180352006,              1,           33554432,           1.0000000000,       build_size, 1.0000000000,         32,               22,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            0, sorted_array,           32,   123.2291336060,     0.0000000000
   84553215,   0.5483904041,              1,           33554432,           1.0000000000,       build_size, 1.0000000000,         32,               22,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            1, sorted_array,           32,     7.7866687775,     7.9879808426
  169097727,   0.9671743974,              1,           67108864,           1.0000000000,       build_size, 1.0000000000,         32,               23,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            0, sorted_array,           32,   167.2374267578,     0.0000000000
