build_bytes,  build_time_ms, checked_result, gpu_resident_bytes, i_key_range, i_key_size, i_log_build_size, i_log_key_range_factor, i_log_num_batches, i_log_probe_size, i_log_range_size, i_runs, i_sort_insert, i_sort_probe,       i_type, i_value_size,    probe_time_ms,  sort_time_ms
 1352713727,   7.4472832203,              1,          536870912,    67108864,         32,               26,                      0,                 0,               27,                0,      5,             0,            0, sorted_array,           32,   324.8492431641,  0.0000000000
 1352713727,   7.7247806966,              1,          536870912,    67108864,         32,               26,                      0,                 0,               27,                0,      5,             0,            1, sorted_array,           32,    14.1893312454, 14.7578689575
 1352713727,   7.4459584594,              1,          536870912,    67108864,         32,               26,                      0,                 0,               27,                2,      5,             0,            0, sorted_array,           32,   498.2115844727,  0.0000000000
 1352713727,   7.7135423660,              1,          536870912,    67108864,         32,               26,                      0,                 0,               27,                2,      5,             0,            1, sorted_array,           32,    16.3907394409, 14.7535871506
 1352713727,   7.4511999726,              1,          536870912,    67108864,         32,               26,                      0,                 0,               27,                4,      5,             0,            0, sorted_array,           32,  1228.8820800781,  0.0000000000
 1352713727,   7.7194560587,              1,          536870912,    67108864,         32,               26,                      0,                 0,               27,                4,      5,             0,            1, sorted_array,           32,    18.6766525269, 14.7525377274
 1352713727,   7.4579776525,              1,          536870912,    67108864,         32,               26,                      0,                 0,               27,                6,      5,             0,            0, sorted_array,           32,  4060.7772460937,  0.0000000000
 1352713727,   7.7181951642,              1,          536870912,    67108864,         32,               26,                      0,                 0,               27,                6,      5,             0,            1, sorted_array,           32,    36.6591812134, 14.7539392471
 1352713727,   7.4539839745,              1,          536870912,    67108864,         32,               26,                      0,                 0,               27,                8,      5,             0,            0, sorted_array,           32, 15324.5472656250,  0.0000000000
 1352713727,   7.7157887220,              1,          536870912,    67108864,         32,               26,                      0,                 0,               27,                8,      5,             0,            1, sorted_array,           32,   120.5182723999, 14.7506752014
 1352713727,   7.4618752539,              1,          536870912,    67108864,         32,               26,                      0,                 0,               27,               10,      5,             0,            0, sorted_array,           32, 60385.8570312500,  0.0000000000
 1352713727,   7.7207295299,              1,          536870912,    67108864,         32,               26,                      0,                 0,               27,               10,      5,             0,            1, sorted_array,           32,   482.8531982422, 14.7406784058
 1352713727,   7.4640895963,              1,          536870912,   268435456,         32,               26,                      2,                 0,               27,               10,      5,             0,            0, sorted_array,           32, 15227.0316406250,  0.0000000000
 1352713727,   7.7300671756,              1,          536870912,   268435456,         32,               26,                      2,                 0,               27,               10,      5,             0,            1, sorted_array,           32,   116.6880706787, 14.7515327454
 1352713727,   7.4631807804,              1,          536870912,  1073741824,         32,               26,                      4,                 0,               27,               10,      5,             0,            0, sorted_array,           32,  4001.6847167969,  0.0000000000
 1352713727,   7.7251455247,              1,          536870912,  1073741824,         32,               26,                      4,                 0,               27,               10,      5,             0,            1, sorted_array,           32,    35.6980613708, 14.7552896500
  676361727,   3.6894719809,              1,          268435456,  2147483648,         32,               25,                      6,                 0,               27,               10,      5,             0,            0, sorted_array,           32,  1159.4738769531,  0.0000000000
  676361727,   3.8913216323,              1,          268435456,  2147483648,         32,               25,                      6,                 0,               27,               10,      5,             0,            1, sorted_array,           32,    16.1315071106, 14.6470590591
  338185727,   1.8634687752,              1,          134217728,  1073741824,         32,               24,                      6,                 0,               27,               10,      5,             0,            0, sorted_array,           32,  1110.8029541016,  0.0000000000
  338185727,   1.9670016050,              1,          134217728,  1073741824,         32,               24,                      6,                 0,               27,               10,      5,             0,            1, sorted_array,           32,    14.8414014816, 14.6075777054
  169097727,   0.9573504031,              1,           67108864,   536870912,         32,               23,                      6,                 0,               27,               10,      5,             0,            0, sorted_array,           32,  1036.3864013672,  0.0000000000
  169097727,   1.0091263957,              1,           67108864,   536870912,         32,               23,                      6,                 0,               27,               10,      5,             0,            1, sorted_array,           32,    14.0392127991, 14.6076480865
   84553215,   0.5088512003,              1,           33554432,   268435456,         32,               22,                      6,                 0,               27,               10,      5,             0,            0, sorted_array,           32,   914.9400634766,  0.0000000000
   84553215,   0.5329727910,              1,           33554432,   268435456,         32,               22,                      6,                 0,               27,               10,      5,             0,            1, sorted_array,           32,    13.4608448029, 14.6063360214
   42281471,   0.2854783962,              1,           16777216,   134217728,         32,               21,                      6,                 0,               27,               10,      5,             0,            0, sorted_array,           32,   719.3462402344,  0.0000000000
   42281471,   0.2959488019,              1,           16777216,   134217728,         32,               21,                      6,                 0,               27,               10,      5,             0,            1, sorted_array,           32,    13.0084417343, 14.6080259323
   21145087,   0.1664191980,              1,            8388608,    67108864,         32,               20,                      6,                 0,               27,               10,      5,             0,            0, sorted_array,           32,   399.1475708008,  0.0000000000
   21145087,   0.1702335978,              1,            8388608,    67108864,         32,               20,                      6,                 0,               27,               10,      5,             0,            1, sorted_array,           32,    12.9081344604, 14.6052927017
   10577407,   0.0982463998,              1,            4194304,    33554432,         32,               19,                      6,                 0,               27,               10,      5,             0,            0, sorted_array,           32,   103.1622573853,  0.0000000000
   10577407,   0.0975744005,              1,            4194304,    33554432,         32,               19,                      6,                 0,               27,               10,      5,             0,            1, sorted_array,           32,    12.4399871826, 14.6113855362
 6786155704, 198.1301689148,              1,         2356445744,    67108864,         32,               26,                      0,                 0,               27,                0,      5,             0,            0,    rtx_index,           32,   116.4564498901,  0.0000000000
 6786155704, 199.2275960922,              1,         2356445744,    67108864,         32,               26,                      0,                 0,               27,                0,      5,             0,            1,    rtx_index,           32,    28.5939647675, 14.8071872711
 6786155704, 197.9546432495,              1,         2356445744,    67108864,         32,               26,                      0,                 0,               27,                2,      5,             0,            0,    rtx_index,           32,   363.1587341309,  0.0000000000
 6786155704, 199.2963237762,              1,         2356445744,    67108864,         32,               26,                      0,                 0,               27,                2,      5,             0,            1,    rtx_index,           32,    68.2090515137, 14.8020288467
 6786155704, 197.8695497513,              1,         2356445744,    67108864,         32,               26,                      0,                 0,               27,                4,      5,             0,            0,    rtx_index,           32,  1065.1463867187,  0.0000000000
 6786155704, 198.9698947906,              1,         2356445744,    67108864,         32,               26,                      0,                 0,               27,                4,      5,             0,            1,    rtx_index,           32,   222.2192596436, 14.8015104294
 6786155704, 198.6620725632,              1,         2356445744,    67108864,         32,               26,                      0,                 0,               27,                6,      5,             0,            0,    rtx_index,           32,  3752.1372558594,  0.0000000000
 6786155704, 199.5593399048,              1,         2356445744,    67108864,         32,               26,                      0,                 0,               27,                6,      5,             0,            1,    rtx_index,           32,   844.7166381836, 14.7884094238
 6786155704, 199.5367183685,              1,         2356445744,    67108864,         32,               26,                      0,                 0,               27,                8,      5,             0,            0,    rtx_index,           32, 14404.8550781250,  0.0000000000
 6786155704, 199.6594253540,              1,         2356445744,    67108864,         32,               26,                      0,                 0,               27,                8,      5,             0,            1,    rtx_index,           32,  3346.6441894531, 14.7798271179
 6786155704, 200.3369714737,              1,         2356445744,    67108864,         32,               26,                      0,                 0,               27,               10,      5,             0,            0,    rtx_index,           32, 56920.1531250000,  0.0000000000
 6786155704, 200.4403028488,              1,         2356445744,    67108864,         32,               26,                      0,                 0,               27,               10,      5,             0,            1,    rtx_index,           32, 13312.2222656250, 14.7721727371
 6958550576, 212.6370939255,              1,         2588314032,   268435456,         32,               26,                      2,                 0,               27,               10,      5,             0,            0,    rtx_index,           32, 15659.0328125000,  0.0000000000
 6958550576, 211.9294734955,              1,         2588314032,   268435456,         32,               26,                      2,                 0,               27,               10,      5,             0,            1,    rtx_index,           32,  3384.1553222656, 14.7777086258
 7105699120, 216.6924757004,              1,         2735462576,  1073741824,         32,               26,                      4,                 0,               27,               10,      5,             0,            0,    rtx_index,           32,  5402.1579101563,  0.0000000000
 7105699120, 216.4105638504,              1,         2735462576,  1073741824,         32,               26,                      4,                 0,               27,               10,      5,             0,            1,    rtx_index,           32,   879.4150390625, 14.7887935638
 3597350960, 106.9169213295,              1,         1412230192,  2147483648,         32,               25,                      6,                 0,               27,               10,      5,             0,            0,    rtx_index,           32,  2103.9312500000,  0.0000000000
 3597350960, 107.3726979256,              1,         1412230192,  2147483648,         32,               25,                      6,                 0,               27,               10,      5,             0,            1,    rtx_index,           32,   240.8208404541, 14.7553215027
