build_bytes,  build_time_ms, checked_result, gpu_resident_bytes, i_key_range, i_key_size, i_log_build_size, i_log_key_range_factor, i_log_num_batches, i_log_probe_size, i_log_range_size, i_runs, i_sort_insert, i_sort_probe,       i_type, i_value_size,    probe_time_ms,  sort_time_ms
 1350704639,   5.4797760010,              1,          536870912,    67108864,         32,               26,                      0,                 0,               27,                0,      5,             0,            0, sorted_array,           32,   149.4449829102,  0.0000000000
 1350704639,   5.7344064593,              1,          536870912,    67108864,         32,               26,                      0,                 0,               27,                0,      5,             0,            1, sorted_array,           32,    10.4089471817, 10.9883071899
 1350704639,   5.4794239223,              1,          536870912,    67108864,         32,               26,                      0,                 0,               27,                2,      5,             0,            0, sorted_array,           32,   217.4836669922,  0.0000000000
 1350704639,   5.7271871984,              1,          536870912,    67108864,         32,               26,                      0,                 0,               27,                2,      5,             0,            1, sorted_array,           32,    11.7575681686, 11.0010431290
 1350704639,   5.4781376839,              1,          536870912,    67108864,         32,               26,                      0,                 0,               27,                4,      5,             0,            0, sorted_array,           32,   473.5629333496,  0.0000000000
 1350704639,   5.7296640754,              1,          536870912,    67108864,         32,               26,                      0,                 0,               27,                4,      5,             0,            1, sorted_array,           32,    12.4444673538, 10.9890876770
 1350704639,   5.4796031654,              1,          536870912,    67108864,         32,               26,                      0,                 0,               27,                6,      5,             0,            0, sorted_array,           32,  1501.3017333984,  0.0000000000
 1350704639,   5.7316479325,              1,          536870912,    67108864,         32,               26,                      0,                 0,               27,                6,      5,             0,            1, sorted_array,           32,    18.0152641296, 10.9868671417
 1350704639,   5.4801535904,              1,          536870912,    67108864,         32,               26,                      0,                 0,               27,                8,      5,             0,            0, sorted_array,           32,  5583.2722656250,  0.0000000000
 1350704639,   5.7317312479,              1,          536870912,    67108864,         32,               26,                      0,                 0,               27,                8,      5,             0,            1, sorted_array,           32,    52.8517120361, 10.9905920029
 1350704639,   5.4792576194,              1,          536870912,    67108864,         32,               26,                      0,                 0,               27,               10,      5,             0,            0, sorted_array,           32, 22004.1140625000,  0.0000000000
 1350704639,   5.7298431754,              1,          536870912,    67108864,         32,               26,                      0,                 0,               27,               10,      5,             0,            1, sorted_array,           32,   194.1624664307, 10.9813505173
 1350704639,   5.4834751070,              1,          536870912,   268435456,         32,               26,                      2,                 0,               27,               10,      5,             0,            0, sorted_array,           32,  5543.3044921875,  0.0000000000
 1350704639,   5.7319360256,              1,          536870912,   268435456,         32,               26,                      2,                 0,               27,               10,      5,             0,            1, sorted_array,           32,    51.6208503723, 10.9903104782
