build_bytes,  build_time_ms, checked_result, gpu_resident_bytes, i_key_range, i_key_size, i_log_build_size, i_log_key_range_factor, i_log_num_batches, i_log_probe_size, i_log_range_size, i_runs, i_sort_insert, i_sort_probe,       i_type, i_value_size,    probe_time_ms,  sort_time_ms
 6786154680, 128.7573312759,              1,         2357201840,    67108864,         64,               26,                      0,                 0,               27,                0,      5,             0,            1,    rtx_index,           32,    17.5550464630, 42.4337341309
 6786154680, 125.8490552902,              1,         2357201840,    67108864,         64,               26,                      0,                 0,               27,                2,      5,             0,            0,    rtx_index,           32,   237.0313903809,  0.0000000000
 6786154680, 128.6529093742,              1,         2357201840,    67108864,         64,               26,                      0,                 0,               27,                2,      5,             0,            1,    rtx_index,           32,    29.7401985168, 42.4310981750
 6786154680, 125.7735672951,              1,         2357201840,    67108864,         64,               26,                      0,                 0,               27,                4,      5,             0,            0,    rtx_index,           32,   688.7618652344,  0.0000000000
 6786154680, 128.5264326096,              1,         2357201840,    67108864,         64,               26,                      0,                 0,               27,                4,      5,             0,            1,    rtx_index,           32,    86.8530380249, 42.4570945740
 6786154680, 125.8186944008,              1,         2357201840,    67108864,         64,               26,                      0,                 0,               27,                6,      5,             0,            0,    rtx_index,           32,  2443.1073730469,  0.0000000000
 6786154680, 128.6610683441,              1,         2357201840,    67108864,         64,               26,                      0,                 0,               27,                6,      5,             0,            1,    rtx_index,           32,   325.3555236816, 42.4642623901
 6786154680, 125.6350342751,              1,         2357201840,    67108864,         64,               26,                      0,                 0,               27,                8,      5,             0,            0,    rtx_index,           32,  9366.8974609375,  0.0000000000
 6786154680, 128.5676926613,              1,         2357201840,    67108864,         64,               26,                      0,                 0,               27,                8,      5,             0,            1,    rtx_index,           32,  1284.7271728516, 42.4226623535
 6786154680, 126.0826290131,              1,         2357201840,    67108864,         64,               26,                      0,                 0,               27,               10,      5,             0,            0,    rtx_index,           32, 36965.7171875000,  0.0000000000
 6786154680, 128.7716668129,              1,         2357201840,    67108864,         64,               26,                      0,                 0,               27,               10,      5,             0,            1,    rtx_index,           32,  5124.4018554688, 42.4304244995
 6958517168, 129.1882954597,              1,         2588281648,   268435456,         64,               26,                      2,                 0,               27,               10,      5,             0,            0,    rtx_index,           32, 11129.5960937500,  0.0000000000
 6958517168, 131.8683073044,              1,         2588281648,   268435456,         64,               26,                      2,                 0,               27,               10,      5,             0,            1,    rtx_index,           32,  1293.9444091797, 42.6606521606
 7105835824, 131.5455547333,              1,         2735600304,  1073741824,         64,               26,                      4,                 0,               27,               10,      5,             0,            0,    rtx_index,           32,  3872.2084960938,  0.0000000000
 7105835824, 134.3750083923,              1,         2735600304,  1073741824,         64,               26,                      4,                 0,               27,               10,      5,             0,            1,    rtx_index,           32,   339.4115600586, 42.7053123474
 7151354032, 132.6840373039,              1,         2781118512,  4294967296,         64,               26,                      6,                 0,               27,               10,      5,             0,            0,    rtx_index,           32,  1505.6873535156,  0.0000000000
 7151354032, 135.2439308167,              1,         2781118512,  4294967296,         64,               26,                      6,                 0,               27,               10,      5,             0,            1,    rtx_index,           32,   111.8236526489, 42.7618370056
 7158397488, 132.9606648445,              1,         2788161968, 17179869184,         64,               26,                      8,                 0,               27,               10,      5,             0,            0,    rtx_index,           32,   665.7601440430,  0.0000000000
 7158397488, 135.6588964462,              1,         2788161968, 17179869184,         64,               26,                      8,                 0,               27,               10,      5,             0,            1,    rtx_index,           32,    55.0586181641, 42.7863746643
 7157028400, 132.8777470589,              1,         2786792880, 68719476736,         64,               26,                     10,                 0,               27,               10,      5,             0,            0,    rtx_index,           32,   332.8616455078,  0.0000000000
