build_bytes,  build_time_ms, checked_result, gpu_resident_bytes, i_key_range, i_key_size, i_log_build_size, i_log_key_range_factor, i_log_num_batches, i_log_probe_size, i_log_range_size, i_runs, i_sort_insert, i_sort_probe,       i_type, i_value_size,     probe_time_ms,  sort_time_ms
 6820443184, 301.2388299942,              1,         2419547440,    67108864,         64,               26,                      0,                 0,               27,                0,      5,             0,            0,    rtx_index,           32,    242.3567932129,  0.0000000000
 6820443184, 301.9936492920,              1,         2419547440,    67108864,         64,               26,                      0,                 0,               27,                0,      5,             0,            1,    rtx_index,           32,     38.2958267212, 67.8119674683
 6820443184, 301.3874443054,              1,         2419547440,    67108864,         64,               26,                      0,                 0,               27,                2,      5,             0,            0,    rtx_index,           32,    716.8404052734,  0.0000000000
 6820443184, 301.7371095657,              1,         2419547440,    67108864,         64,               26,                      0,                 0,               27,                2,      5,             0,            1,    rtx_index,           32,     76.8841705322, 67.8067657471
 6820443184, 302.0357318878,              1,         2419547440,    67108864,         64,               26,                      0,                 0,               27,                4,      5,             0,            0,    rtx_index,           32,   2081.4029785156,  0.0000000000
 6820443184, 302.3935087204,              1,         2419547440,    67108864,         64,               26,                      0,                 0,               27,                4,      5,             0,            1,    rtx_index,           32,    168.4133453369, 67.8206268311
 6820443184, 302.1422178268,              1,         2419547440,    67108864,         64,               26,                      0,                 0,               27,                6,      5,             0,            0,    rtx_index,           32,   7279.9896484375,  0.0000000000
 6820443184, 302.6040124893,              1,         2419547440,    67108864,         64,               26,                      0,                 0,               27,                6,      5,             0,            1,    rtx_index,           32,    559.7370239258, 67.7774063110
 6820443184, 302.7935829163,              1,         2419547440,    67108864,         64,               26,                      0,                 0,               27,                8,      5,             0,            0,    rtx_index,           32,  27900.6917968750,  0.0000000000
 6820443184, 302.9003080368,              1,         2419547440,    67108864,         64,               26,                      0,                 0,               27,                8,      5,             0,            1,    rtx_index,           32,   2145.3534179687, 67.7201110840
 6820443184, 302.4971063614,              1,         2419547440,    67108864,         64,               26,                      0,                 0,               27,               10,      5,             0,            0,    rtx_index,           32, 110206.4031250000,  0.0000000000
 6820443184, 302.8454193115,              1,         2419547440,    67108864,         64,               26,                      0,                 0,               27,               10,      5,             0,            1,    rtx_index,           32,   8446.6894531250, 67.7536270142
 7087590192, 327.5610223770,              1,         2686694448,   268435456,         64,               26,                      2,                 0,               27,               10,      5,             0,            0,    rtx_index,           32,  30996.4113281250,  0.0000000000
 7087590192, 327.2704910278,              1,         2686694448,   268435456,         64,               26,                      2,                 0,               27,               10,      5,             0,            1,    rtx_index,           32,   2310.4865722656, 67.7419601440
 7228316976, 334.3402936935,              1,         2827421232,  1073741824,         64,               26,                      4,                 0,               27,               10,      5,             0,            0,    rtx_index,           32,  10729.1539062500,  0.0000000000
 7228316976, 334.6537229538,              1,         2827421232,  1073741824,         64,               26,                      4,                 0,               27,               10,      5,             0,            1,    rtx_index,           32,   1192.8830078125, 67.7676467896
 7269067056, 336.5230625153,              1,         2868171312,  4294967296,         64,               26,                      6,                 0,               27,               10,      5,             0,            0,    rtx_index,           32,   4341.4009765625,  0.0000000000
 7269067056, 336.5740863800,              1,         2868171312,  4294967296,         64,               26,                      6,                 0,               27,               10,      5,             0,            1,    rtx_index,           32,    937.2507202148, 68.1340744019
 7273504688, 337.4944684982,              1,         2872608944, 17179869184,         64,               26,                      8,                 0,               27,               10,      5,             0,            0,    rtx_index,           32,   1977.3627685547,  0.0000000000
 7273504688, 336.6729112625,              1,         2872608944, 17179869184,         64,               26,                      8,                 0,               27,               10,      5,             0,            1,    rtx_index,           32,    646.4610351562, 67.9146545410
 7270590768, 336.4567893982,              1,         2869695024, 68719476736,         64,               26,                     10,                 0,               27,               10,      5,             0,            0,    rtx_index,           32,   1001.7916015625,  0.0000000000
 7270590768, 337.0558296204,              1,         2869695024, 68719476736,         64,               26,                     10,                 0,               27,               10,      5,             0,            1,    rtx_index,           32,    454.9031982422, 67.8845565796
 3662121392, 172.6503479958,              1,         1461671472,  2147483648,         64,               25,                      6,                 0,               27,               10,      5,             0,            0,    rtx_index,           32,   4181.5882812500,  0.0000000000
